大	Pictograph of a person with outstretched arms, representing the meaning "big".	[]
小	Pictograph of three small dots, representing grains of sand or rice, to convey the meaning "small".	[]
匕	Pictograph of a ladle.	[]
艮	Origin unclear. Originally written with 目 over 匕.	[{"char":"目","type":"unknown","notes":"The purpose of this component is unclear.","pinyin":"mù","definition":"eye"},{"char":"匕","type":"unknown","notes":"The purpose of this component is unclear.","pinyin":"bǐ","definition":"spoon; ladle"}]
很	Phonosemantic compound. 彳 represents the meaning and 艮 represents the sound.	[{"char":"彳","type":"meaning","notes":"彳 is a component form of 行.","pinyin":"chì","definition":"walk; travel"},{"char":"艮","type":"sound","pinyin":"gěn; gèn","definition":"blunt"}]
太	Addition of a dot to 大 (dà; big) to mean "very" or "extremely".	[{"char":"大","type":"iconic","pinyin":"dà; dài","definition":"big"}]
卩	Variant component form of 人. Depicts a person kneeling.	[]
巴	Pictograph of a person grabbing something with their hand.	[]
邑	Pictograph of a person (卩) outside a city wall (囗). Appears as a component in the right side of characters as ⻏.	[{"char":"囗","type":"iconic","pinyin":"wéi","definition":"wall; surrounding"},{"char":"卩","type":"iconic","notes":"The modern form of this component looks like 巴.","pinyin":"jié","definition":"person"}]
冉	Pictograph of two strands of something drooping.	[]
那	Phonosemantic compound. ⻏ represents the meaning and 冄 represents the sound. The character is based on the original meaning "name of a city", which is unrelated to the modern meaning.	[{"char":"⻏","type":"meaning","notes":"⻏ is a component form of 邑.","pinyin":"yì","definition":"area; city"},{"char":"冄","type":"sound","notes":"冄 is a component form of 冉. The pronunciation of 那 was similar to 冄 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"rǎn","definition":"gradually; drooping (branches or hair)"}]
哪	Phonosemantic compound. 口 represents the meaning and 那 represents the sound.	[{"char":"口","type":"meaning","pinyin":"kǒu","definition":"mouth"},{"char":"那","type":"sound","pinyin":"nà; nuó; nā; nǎ","definition":"that"}]
里	A village (里) is an area of land (土) where people have fields (田). In simplified Chinese 里 is also used to mean "inside", while in traditional Chinese this meaning is written with a separate character 裡.	[{"char":"田","type":"meaning","pinyin":"tián","definition":"field"},{"char":"土","type":"meaning","pinyin":"tǔ","definition":"earth; dirt"}]
衣	Pictograph of a coat.	[]
裡	Phonosemantic compound. 衤 represents the meaning and 里 represents the sound.	[{"char":"衤","type":"meaning","notes":"衤 is a component form of 衣.","pinyin":"yī","definition":"clothes"},{"char":"里","type":"sound","pinyin":"lǐ","definition":"village; (simp.) inside"}]
裏	Variant form of 裡.	[{"char":"里","type":"sound","pinyin":"lǐ","definition":"village; (simp.) inside"},{"char":"衣","type":"meaning","pinyin":"yī; yì","definition":"clothes"}]
宀	Pictograph of a roof.	[]
豕	Pictograph of a hog.	[]
家	Phonosemantic compound. 宀 represents the meaning and 豕 represents the sound.	[{"char":"宀","type":"meaning","pinyin":"mián","definition":"roof"},{"char":"豕","type":"sound","notes":"The pronunciation of 家 was similar to 豕 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"shǐ","definition":"hog"}]
聿	Pictograph of a hand holding a writing utensil.	[{"char":"又","type":"iconic","pinyin":"yòu","definition":"(hand); again"},{"char":"◎","type":"iconic","notes":"Depicts a writing utensil.","pinyin":"xx","definition":"characterless component"}]
者	Origin unclear.	[]
書	Phonosemantic compound. 聿 represents the meaning and 者 represents the sound.	[{"char":"聿","type":"meaning","pinyin":"yù","definition":"writing utensil"},{"char":"者","type":"sound","notes":"The pronunciation of 書 was similar to 者 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"zhě","definition":"-er; [one that...]"}]
书	Simplified form of 書. Phonosemantic compound. 聿 represents the meaning and 者 represents the sound.	[{"char":"聿","type":"meaning","pinyin":"yù","definition":"writing utensil"},{"char":"者","type":"sound","notes":"The pronunciation of 書 was similar to 者 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"zhě","definition":"-er; [one that...]"}]
本	Addition of a horizontal line toward the bottom of 木 (tree) to represent the roots of the tree.	[{"char":"木","type":"iconic","pinyin":"mù","definition":"wood; tree"},{"char":"◎","type":"iconic","notes":"Depicts roots.","pinyin":"xx","definition":"characterless component"}]
旡	Pictograph of a person with their mouth facing backwards.	[{"char":"口","type":"iconic","pinyin":"kǒu","definition":"mouth"},{"char":"卩","type":"iconic","pinyin":"jié","definition":"person"}]
愛		[{"char":"旡","type":"sound","notes":"The pronunciation of 愛 was similar to 旡 in old Chinese, but they no longer sound similar in modern Mandarin due to historical phonetic changes.","pinyin":"jì","definition":"choke"},{"char":"心","type":"meaning","pinyin":"xīn","definition":"heart"},{"char":"夂","type":"unknown","notes":"夂 is a component form of 止. The purpose of this component is unclear.","pinyin":"zhǐ","definition":"(foot); stop"}]
