泑	yǒu	the vitreous glaze on china	the vitreous glaze on china, porcelain etc
泒	gū	name of a river	name of a river
泓	hóng	clear, vast and deep	clear; vast and deep; classifier for a body of clear water
泔	gān	slop from rinsing rice	slop from rinsing rice
泖	mǎo	still water	still water
泗	Sì; sì	river in Shandong, nasal mucus	river in Shandong; nasal mucus
泙	píng	sound of water splashing	sound of water splashing
泚	cǐ	clear, bright and brilliant	clear; bright and brilliant
泜	zhī	a river in Hebei province	a river in Hebei province
泝	sù	variant of 溯	variant of 溯[sù]
泠	Líng; líng	sound of water flowing	surname Ling; sound of water flowing
泡	pào; pāo	to soak, bubble, to steep	bubble; foam; blister (i.e. skin bubble); to soak; to steep; to infuse; to dawdle; to shilly-shally; to hang about; to pick up (a girl); to get off with (a sexual partner); classifier for occurrences of an action...
波	bō; Bō	wave, ripple, storm, surge	wave; ripple; storm; surge; Poland; Polish; abbr. for 波蘭|波兰[Bō​lán]
泣	qì	to sob	to sob
泥	ní; nì	mud, clay, paste, pulp	mud; clay; paste; pulp; restrained
注	zhù	to inject, to pour into	to inject; to pour into; to concentrate; to pay attention; stake (gambling); classifier for sums of money; variant of 註|注[zhù]; to register; to annotate; note; comment
泩	shēng	rising of water	rising of water
泫	xuàn	weep	weep
泭	fū	a raft	a raft
泮	pàn	to dissolve	(literary) to melt; to dissolve
泰	tài; Tài	safe, peaceful, most, grand	safe; peaceful; most; grand; Mt Tai 泰山[Tài​Shān] in Shandong; abbr. for Thailand
泱	yāng	agitated, boundless	agitated (wind, cloud); boundless
泲	jǐ	clear wine, name of a river	clear wine; name of a river
泳	yǒng	to swim, swimming	swimming; to swim
泵	bèng	pump	pump (loanword)
洄	huí	eddying, whirling	eddying; whirling (of water); to go against the current
洇	yīn; yān	to soak, to blotch, to splotch	to soak; to blotch; to splotch; variant of 湮[yān]
洊	jiàn	successive, flowing water	flowing water; successive
洋	yáng	ocean, vast, foreign	ocean; vast; foreign; silver dollar or coin
洌	liè	to cleanse, pure	pure; to cleanse
